basin_id;output;benchmark_kge;benchmark_type;3km_kge;1km_kge;200m_kge;beat_benchmark;ksat_3km;ksat_1km;ksat_200m;3km_nse;1km_nse;200m_nse;best_performance;mean_marrmot
218;FALSE;;;;;;FALSE;;;;;;; ;0.697876286
219;FALSE;;;;;;FALSE;;;;;;; ;0.723312172
220;FALSE;;;;;;FALSE;;;;;;; ;
221;FALSE;;;;;;FALSE;;;;;;; ;
222;FALSE;;;;;;FALSE;;;;;;; ;0.67615067
223;FALSE;;;;;;FALSE;;;;;;; ;0.626279859
224;FALSE;;;;;;FALSE;;;;;;; ;0.645125527
225;FALSE;;;;;;FALSE;;;;;;; ;0.758831734
226;FALSE;;;;;;FALSE;;;;;;; ;0.587202225
227;FALSE;;;;;;FALSE;;;;;;; ;0.749465722
228;FALSE;;;;;;FALSE;;;;;;; ;0.69147901
229;FALSE;;;;;;FALSE;;;;;;; ;
230;FALSE;;;;;;FALSE;;;;;;; ;0.68068129
231;FALSE;;;;;;FALSE;;;;;;; ;0.746786302
232;FALSE;;;;;;FALSE;;;;;;; ;0.550552591
233;FALSE;;;;;;FALSE;;;;;;; ;0.661765147
234;FALSE;;;;;;FALSE;;;;;;; ;0.555239319
235;FALSE;;;;;;FALSE;;;;;;; ;0.623676504
236;FALSE;;;;;;FALSE;;;;;;; ;0.572760407
237;TRUE;-0.03430981;mean;0.559;0.834;0.445;TRUE;10;10;1;0.374;0.697;0.217;1km;0.684684197
238;TRUE;0.139480285;mean;0.797;0.632;0.707;TRUE;20;100;10;0.643;0.492;0.625;3km;0.637989805
239;TRUE;-0.155100756;mean;0.489;0.595;0.458;TRUE;10;10;10;0.45;0.517;0.394;1km;0.668540318
240;TRUE;0.101188796;mean;0.531;0.704;0.7;TRUE;150;225;70;0.474;0.568;0.54;1km;0.53823853
241;TRUE;0.112325735;mean;0.659;0.663;0.662;TRUE;150;125;50;0.655;0.631;0.6;1km;0.63821662
242;TRUE;-0.104521506;mean;0.529;0.587;0.727;TRUE;30;100;10;0.677;0.574;0.718;200m;0.657153249
